model,readout,region,n_components,fold,r2
nonlinear-linear,linear,M1,46,1,0.7833491914830802
nonlinear-linear,linear,M1,46,2,0.7549872990223612
nonlinear-linear,linear,M1,46,3,0.7958489612008444
nonlinear-linear,linear,M1,50,0,0.7441121437903541
nonlinear-linear,linear,M1,50,1,0.7813557626067735
nonlinear-linear,linear,M1,50,2,0.7586483149755265
nonlinear-linear,linear,M1,50,3,0.7958860539382507
nonlinear-linear,linear,M1,50,4,0.7291317630805265
nonlinear-linear,linear,SMA,10,0,0.2741685388143558
nonlinear-linear,linear,SMA,10,1,0.3622838310956324
nonlinear-linear,linear,SMA,10,2,0.4279369223297124
nonlinear-linear,linear,SMA,10,3,0.3158644920221126
nonlinear-linear,linear,SMA,10,4,0.32225747346855166
nonlinear-linear,linear,SMA,16,0,0.425429223020775
nonlinear-linear,linear,SMA,16,1,0.47679699432502537
nonlinear-linear,linear,SMA,16,2,0.5555473888086566
nonlinear-linear,linear,SMA,16,3,0.44101480703019713
nonlinear-linear,linear,SMA,16,4,0.43043894124518095
nonlinear-linear,linear,SMA,26,0,0.5486712873548619
nonlinear-linear,linear,SMA,26,1,0.5892405014344748
nonlinear-linear,linear,SMA,26,2,0.6618000516110285
nonlinear-linear,linear,SMA,26,3,0.547625523932237
nonlinear-linear,linear,SMA,26,4,0.5251802132548113
nonlinear-linear,linear,SMA,36,0,0.6046027757783323
nonlinear-linear,linear,SMA,36,1,0.6125691843216928
nonlinear-linear,linear,SMA,36,2,0.6839807152399134
nonlinear-linear,linear,SMA,36,3,0.5937357473245779
nonlinear-linear,linear,SMA,36,4,0.5725997860234512
nonlinear-linear,linear,SMA,46,0,0.6141563417923533
nonlinear-linear,linear,SMA,46,1,0.6574070878808078
nonlinear-linear,linear,SMA,46,2,0.7136532192070265
nonlinear-linear,linear,SMA,46,3,0.6214042109765109
nonlinear-linear,linear,SMA,50,0,0.6211648876824485
nonlinear-linear,linear,SMA,50,1,0.6635421193760036
nonlinear-linear,linear,SMA,50,2,0.7159769989293758
nonlinear-linear,linear,SMA,50,3,0.6224059423893246
nonlinear-linear,linear,SMA,50,4,0.5892762467636222
nonlinear-nonlinear,mlp,M1,10,0,0.5302030104345968
nonlinear-nonlinear,mlp,M1,10,1,0.5667397699791676
nonlinear-nonlinear,mlp,M1,10,2,0.45592371101430634
nonlinear-nonlinear,mlp,M1,10,3,0.47926992038731836
nonlinear-nonlinear,mlp,M1,10,4,0.39259880033302996
nonlinear-nonlinear,mlp,M1,16,0,0.6691885626553935
nonlinear-nonlinear,mlp,M1,16,1,0.7057960447537767
nonlinear-nonlinear,mlp,M1,16,2,0.6982180439625106
nonlinear-nonlinear,mlp,M1,16,3,0.7242989858951795
nonlinear-nonlinear,mlp,M1,16,4,0.6595689382607651
nonlinear-nonlinear,mlp,M1,26,0,0.7501701605083256
nonlinear-nonlinear,mlp,M1,26,1,0.7756412506450887
nonlinear-nonlinear,mlp,M1,26,2,0.7590673871336884
nonlinear-nonlinear,mlp,M1,26,3,0.8032245680678918
nonlinear-nonlinear,mlp,M1,26,4,0.7370553819187746
nonlinear-nonlinear,mlp,M1,36,0,0.7750398886873034
nonlinear-nonlinear,mlp,M1,36,1,0.8215673238353939
nonlinear-nonlinear,mlp,M1,36,2,0.7929333441013257
nonlinear-nonlinear,mlp,M1,36,3,0.8257691550469289
nonlinear-nonlinear,mlp,M1,36,4,0.7702695348162171
nonlinear-nonlinear,mlp,M1,46,0,0.781974612704821
nonlinear-nonlinear,mlp,M1,46,1,0.8367569231781999
nonlinear-nonlinear,mlp,M1,46,2,0.8043709794841587
nonlinear-nonlinear,mlp,M1,46,3,0.8355440193630365
nonlinear-nonlinear,mlp,M1,46,4,0.7836095228771786
nonlinear-nonlinear,mlp,M1,50,0,0.7855494362154367
nonlinear-nonlinear,mlp,M1,50,1,0.8389327794088871
nonlinear-nonlinear,mlp,M1,50,2,0.8081803054038493
nonlinear-nonlinear,mlp,M1,50,3,0.832586955855824
nonlinear-nonlinear,mlp,M1,50,4,0.7837589277391604
nonlinear-nonlinear,mlp,SMA,10,0,0.39406420144885795
nonlinear-nonlinear,mlp,SMA,10,1,0.4075140403605176
nonlinear-nonlinear,mlp,SMA,10,2,0.45401973416103714
nonlinear-nonlinear,mlp,SMA,10,3,0.3009135653209322
nonlinear-nonlinear,mlp,SMA,10,4,0.3168081121251554
nonlinear-nonlinear,mlp,SMA,16,0,0.5002482800742628
nonlinear-nonlinear,mlp,SMA,16,1,0.535990826364126
nonlinear-nonlinear,mlp,SMA,16,2,0.61168059478368
nonlinear-nonlinear,mlp,SMA,16,3,0.49938358386599363
nonlinear-nonlinear,mlp,SMA,16,4,0.4853010064576992
nonlinear-nonlinear,mlp,SMA,26,0,0.6384405668123031
nonlinear-nonlinear,mlp,SMA,26,1,0.6270763256995759
nonlinear-nonlinear,mlp,SMA,26,2,0.6949193688712515
nonlinear-nonlinear,mlp,SMA,26,3,0.6233884248767926
nonlinear-nonlinear,mlp,SMA,26,4,0.586041442417207
nonlinear-nonlinear,mlp,SMA,36,0,0.6524289938289249
nonlinear-nonlinear,mlp,SMA,36,1,0.6797766104592878
nonlinear-nonlinear,mlp,SMA,36,2,0.741025168890553
nonlinear-nonlinear,mlp,SMA,36,3,0.6577794882158042
nonlinear-nonlinear,mlp,SMA,36,4,0.6251505607128813
nonlinear-nonlinear,mlp,SMA,46,0,0.662872103629081
nonlinear-nonlinear,mlp,SMA,46,1,0.6962795414012282
nonlinear-nonlinear,mlp,SMA,46,2,0.7399714335503094
nonlinear-nonlinear,mlp,SMA,46,3,0.6563618461788572
nonlinear-nonlinear,mlp,SMA,46,4,0.6343315870271995
nonlinear-nonlinear,mlp,SMA,50,0,0.6616786238901076
nonlinear-nonlinear,mlp,SMA,50,1,0.6968435405233141
nonlinear-nonlinear,mlp,SMA,50,2,0.7484071406714233
nonlinear-nonlinear,mlp,SMA,50,3,0.6540892205787416
nonlinear-nonlinear,mlp,SMA,50,4,0.6244553017709447
nonlinear-nonlinear,linear,M1,10,0,0.3708694005045057
nonlinear-nonlinear,linear,M1,10,1,0.45640126689033694
nonlinear-nonlinear,linear,M1,10,2,0.4097824309739262
nonlinear-nonlinear,linear,M1,10,3,0.4546876765991566
nonlinear-nonlinear,linear,M1,10,4,0.3229490857005125
nonlinear-nonlinear,linear,M1,16,0,0.5033538673654524
nonlinear-nonlinear,linear,M1,16,1,0.5760446410963233
nonlinear-nonlinear,linear,M1,16,2,0.5576704434627641
nonlinear-nonlinear,linear,M1,16,3,0.5883318158014622
nonlinear-nonlinear,linear,M1,16,4,0.5014310180843534
nonlinear-nonlinear,linear,M1,26,0,0.6545901956761296
nonlinear-nonlinear,linear,M1,26,1,0.6745902939241056
nonlinear-nonlinear,linear,M1,26,2,0.6494478961969236
nonlinear-nonlinear,linear,M1,26,3,0.709782015422588
nonlinear-nonlinear,linear,M1,26,4,0.6023974397282014
nonlinear-nonlinear,linear,M1,36,0,0.6881329297174048
nonlinear-nonlinear,linear,M1,36,1,0.7457029915841199
nonlinear-nonlinear,linear,M1,36,2,0.7165764655869706
nonlinear-nonlinear,linear,M1,36,3,0.7506474017123292
nonlinear-nonlinear,linear,M1,36,4,0.6882926299335853
nonlinear-nonlinear,linear,M1,46,0,0.7405518259909925
nonlinear-nonlinear,linear,M1,46,1,0.7866970056883769
nonlinear-nonlinear,linear,M1,46,2,0.7328714332169247
nonlinear-nonlinear,linear,M1,46,3,0.7891875588462893
nonlinear-nonlinear,linear,M1,46,4,0.7325866768541157
nonlinear-nonlinear,linear,M1,50,0,0.7468218489953927
nonlinear-nonlinear,linear,M1,50,1,0.7923727359166222
nonlinear-nonlinear,linear,M1,50,2,0.7530738656771466
nonlinear-nonlinear,linear,M1,50,3,0.7924241842488113
nonlinear-nonlinear,linear,M1,50,4,0.7354018948730406
nonlinear-nonlinear,linear,SMA,10,0,0.3437285082379276
nonlinear-nonlinear,linear,SMA,10,1,0.3424796173304612
nonlinear-nonlinear,linear,SMA,10,2,0.4165197291996871
nonlinear-nonlinear,linear,SMA,10,3,0.27576018063896146
nonlinear-nonlinear,linear,SMA,10,4,0.24295358155920516
nonlinear-nonlinear,linear,SMA,16,0,0.41312162264100566
nonlinear-nonlinear,linear,SMA,16,1,0.43941802998105084
nonlinear-nonlinear,linear,SMA,16,2,0.5424136310704438
nonlinear-nonlinear,linear,SMA,16,3,0.4190946476482321
nonlinear-nonlinear,linear,SMA,16,4,0.41300541086274883
nonlinear-nonlinear,linear,SMA,26,0,0.544598849239998
nonlinear-nonlinear,linear,SMA,26,1,0.5542628129679005
nonlinear-nonlinear,linear,SMA,26,2,0.6331054211720599
nonlinear-nonlinear,linear,SMA,26,3,0.5304049081770218
nonlinear-nonlinear,linear,SMA,26,4,0.5017583655136215
nonlinear-nonlinear,linear,SMA,36,0,0.594493335478514
nonlinear-nonlinear,linear,SMA,36,1,0.6207197677275486
nonlinear-nonlinear,linear,SMA,36,2,0.6834594474471244
nonlinear-nonlinear,linear,SMA,36,3,0.5880583955042477
nonlinear-nonlinear,linear,SMA,36,4,0.5620031237536056
nonlinear-nonlinear,linear,SMA,46,0,0.6238448703376555
nonlinear-nonlinear,linear,SMA,46,1,0.6614907690891554
nonlinear-nonlinear,linear,SMA,46,2,0.694847464666108
nonlinear-nonlinear,linear,SMA,46,3,0.6082460159065268
nonlinear-nonlinear,linear,SMA,46,4,0.5930737653218023
nonlinear-nonlinear,linear,SMA,50,0,0.6070986053354583
nonlinear-nonlinear,linear,SMA,50,1,0.669662637664972
nonlinear-nonlinear,linear,SMA,50,2,0.709573480729025
nonlinear-nonlinear,linear,SMA,50,3,0.6198980928700522
nonlinear-nonlinear,linear,SMA,50,4,0.5927888327054153
